time,text
2412975,FIX_START
2414473,FIX_END
2414489,STIM_START
2414740,STIM_END
2415240,RESP_START
2422240,RESP_END
2422240,TRIAL_END 136
2422240,TRIALID 137
2422242,FIX_START
2422740,FIX_END
2422757,STIM_START
2423007,STIM_END
2423507,RESP_START
2427057,RESP_END
2427057,TRIAL_END 137
2427057,TRIALID 138
2427059,FIX_START
2428057,FIX_END
2428074,STIM_START
2428341,STIM_END
2428841,RESP_START
2433041,RESP_END
2433041,TRIAL_END 138
2433041,TRIALID 139
2433043,FIX_START
2433542,FIX_END
2433558,STIM_START
2433808,STIM_END
2434308,RESP_START
2437775,RESP_END
2437775,TRIAL_END 139
2437775,TRIALID 140
2444025,FIX_START
2445025,FIX_END
2445042,STIM_START
2445292,STIM_END
2445792,RESP_START
2448709,RESP_END
2448709,TRIAL_END 140
2448709,TRIALID 141
2448711,FIX_START
2450209,FIX FAILED
2451710,FIX_SUCCEED
2451959,FIX_END
2451976,STIM_START
2452227,STIM_END
2452726,RESP_START
2456477,RESP_END
2456477,TRIAL_END 141
2456477,TRIALID 142
2456479,FIX_START
2457477,FIX_END
2457493,STIM_START
2457760,STIM_END
2458260,RESP_START
2461711,RESP_END
2461711,TRIAL_END 142
2461711,TRIALID 143
2461713,FIX_START
2462711,FIX_END
2462727,STIM_START
2462994,STIM_END
2463494,RESP_START
2467394,RESP_END
2467394,TRIAL_END 143
2467394,TRIALID 144
2467396,FIX_START
2467894,FIX_END
2467911,STIM_START
2468161,STIM_END
2468661,RESP_START
2472794,RESP_END
2472794,TRIAL_END 144
2472794,TRIALID 145
2472796,FIX_START
2473295,FIX_END
2473312,STIM_START
2473562,STIM_END
2474062,RESP_START
2481779,RESP_END
2481779,TRIAL_END 145
2481779,TRIALID 146
2481781,FIX_START
2482279,FIX_END
2482296,STIM_START
2482563,STIM_END
2483062,RESP_START
2486696,RESP_END
2486696,TRIAL_END 146
