eye,tStart,tEnd,duration,xStart,yStart,xEnd,yEnd,ampDeg,vPeak
L,1534802,1534840,40,2585.0,1376.2,2008.6,1209.9,5.4,189
L,1537130,1537182,54,1915.2,1173.9,2560.3,1509.8,6.9,166
L,1537408,1537604,198,2681.0,1605.2,2963.8,1507.6,2.7,687
L,1537878,1537890,14,2985.9,1436.0,2988.7,1363.0,0.9,76
L,1538612,1538626,16,2972.9,1333.2,2950.4,1257.5,0.9,75
L,1539318,1539328,12,2927.6,1227.2,2933.4,1180.1,0.6,61
L,1539766,1539802,38,2920.5,1161.2,2079.5,1195.8,7.3,302
L,1542462,1542496,36,2000.0,1173.6,2224.4,1434.6,3.7,183
L,1542756,1542768,14,2404.6,1381.6,2505.5,1391.4,0.9,79
L,1544710,1544748,40,2562.8,1445.4,2031.5,1202.0,5.4,193
L,1546834,1546876,44,1846.1,1141.2,1065.0,1275.6,6.8,213
L,1547024,1547118,96,978.3,1389.8,1067.3,1559.9,2.1,597
L,1547220,1547388,170,1032.0,1316.9,1030.5,1459.2,1.7,961
L,1547970,1547982,14,1012.9,1220.6,1047.3,1164.1,0.7,64
L,1548966,1548980,16,1050.4,1118.0,1067.6,1037.1,1.0,81
L,1549628,1549668,42,1097.3,1024.3,1814.4,1109.4,6.2,194
L,1551852,1551904,54,1920.2,1148.1,2877.5,1293.2,8.4,232
L,1552116,1552130,16,2975.3,1298.8,2952.5,1198.0,1.2,95
L,1552300,1552324,26,2973.4,1189.6,3031.9,1384.2,2.4,115
L,1552594,1552612,20,3023.6,1485.5,2898.6,1561.7,1.4,92
L,1552878,1552900,24,2864.4,1578.7,2972.4,1378.7,2.5,152
L,1553306,1553326,22,2970.8,1349.0,2985.2,1522.5,2.1,124
L,1553940,1554106,168,2916.5,1582.4,2744.0,1546.2,1.5,593
L,1554190,1554206,18,2766.9,1451.7,2953.6,1385.5,1.8,130
L,1554400,1558440,4042,2962.3,1390.3,2318.4,1168.5,6.1,1100
L,1558698,1558724,28,2304.4,1125.3,1955.1,1156.9,3.0,147
L,1560474,1560512,40,1901.7,1125.8,1285.5,1036.4,5.4,165
L,1560994,1561010,18,1159.5,1077.1,989.6,1140.3,1.6,116
L,1561462,1561606,146,893.3,1203.8,1046.8,1308.9,1.8,1015
