eye,tStart,tEnd,duration,xAvg,yAvg,pupilAvg
R,864115,864159,48,1948.9,1495.4,181
R,864183,864227,48,1923.4,1451.6,193
R,864243,864275,36,1933.2,1348.9,165
R,865279,865383,108,2911.5,2194.6,78
R,865399,865531,136,2893.1,2472.5,70
R,865555,865799,248,2971.7,2592.2,58
R,865855,865887,36,2951.0,2725.7,52
R,865903,865971,72,2987.5,2694.8,48
R,865987,866147,164,2951.5,2726.1,46
R,867443,867463,24,2011.0,1353.3,239
R,867483,877527,10048,1814.0,1016.0,380
R,881051,881123,76,1778.3,870.9,376
R,881147,885819,4676,1884.0,1084.2,520
R,885867,886099,236,1170.9,1222.0,653
R,886483,889035,2556,2026.8,1614.6,489
R,889051,889303,256,2106.0,2021.0,404
R,889319,889479,164,2111.4,1927.3,392
R,889495,889935,444,2105.4,2047.3,348
R,889955,890031,80,2066.7,1871.4,361
R,890083,890315,236,2021.5,2009.5,322
R,890351,890595,248,2039.1,2031.9,315
R,890611,890631,24,2032.8,1858.2,214
R,890663,890711,52,2080.3,1824.4,161
R,891247,891279,36,2941.6,2164.1,72
R,891591,891611,24,2959.6,2317.8,63
R,891743,891779,40,2759.8,2564.5,92
R,891815,891875,64,2721.6,2648.1,88
R,892075,895447,3376,1809.2,1036.9,398
R,896775,896835,64,1435.5,634.4,365
R,896887,896951,68,1706.3,864.1,416
R,896975,897147,176,1891.7,1004.2,438
R,897167,902235,5072,1846.5,1032.0,444
R,903327,908275,4952,1858.3,1117.4,463
R,908295,909179,888,1971.7,1703.6,393
R,909211,909319,112,2027.5,2005.8,316
R,909351,909487,140,1985.0,2065.4,266
R,910387,916343,5960,1829.5,1111.4,450
R,916375,916451,80,2059.1,2067.4,342
R,916467,916591,128,2011.1,2033.2,330
R,916607,916639,36,2004.0,2087.1,322
R,916655,916691,40,1998.9,2176.1,308
R,916879,917399,524,1054.1,1053.7,501
R,917727,917747,24,1741.2,1565.4,249
R,917779,920055,2280,1796.7,1181.5,417
R,920323,920351,32,2608.9,2562.5,81
R,920399,920491,96,2652.7,2717.8,73
R,920507,920555,52,2718.1,2732.3,66
R,920671,920851,184,2725.1,2806.0,74
R,920979,922303,1328,1783.3,991.0,408
R,922999,923151,156,1768.1,788.5,352
R,923171,929987,6820,1820.3,1061.9,455
R,930011,930227,220,2157.3,1623.1,551
R,930287,930299,16,2585.4,2066.6,526
R,930323,930363,44,2592.0,1753.2,538
R,930379,930411,36,2549.7,1608.6,538
R,930427,930483,60,2558.2,1740.9,465
R,930863,931015,156,1873.5,1231.7,403
R,931043,931087,48,1968.7,1500.7,376
R,931115,931203,92,1990.6,1714.5,348
R,931219,931531,316,1996.9,1704.3,385
R,931555,931755,204,2125.8,2128.0,329
R,931771,931931,164,2107.7,2136.5,323
R,931963,931987,28,2133.9,2381.7,283
R,932143,933827,1688,1832.6,1175.6,484
R,933843,934075,236,1978.9,1672.7,365
R,934099,934163,68,2036.2,1738.4,354
R,934179,934307,132,2036.6,1719.6,348
R,934323,934367,48,2025.9,1835.5,311
R,934403,934591,192,2029.2,1739.3,307
R,934611,937067,2460,1867.7,1132.3,458
R,937083,937383,304,2125.8,1897.0,439
R,937843,937863,24,2709.1,2017.1,50
R,937931,938007,80,2029.2,1367.3,219
R,938099,938179,84,2738.9,1743.5,274
R,938195,938283,92,2731.2,1547.9,282
R,938299,938335,40,2689.7,1623.5,286
R,938363,938459,100,2462.7,1741.8,283
R,938483,938851,372,2620.6,1505.9,297
R,938895,939019,128,2500.4,2129.4,305
R,939071,939739,672,1995.5,1528.4,377
R,939755,940159,408,2100.7,1921.9,357
R,940175,940243,72,2130.5,2281.2,288
R,940387,940403,20,2531.7,2699.6,147
R,940631,940695,68,2665.0,2588.2,117
R,940759,940783,28,2543.3,2700.3,136
R,940851,940943,96,2676.9,2765.0,89
R,941095,941211,120,2597.3,2798.2,93
R,941295,941359,68,2632.0,2724.4,104
R,941399,941455,60,2604.3,2818.2,107
R,941495,941519,28,2109.5,1987.6,301
R,941555,941591,40,2041.3,1662.3,351
R,941611,942919,1312,1815.3,1014.3,421
R,944551,944611,64,1473.5,796.0,382
R,944639,951783,7148,1845.8,1024.2,456
R,951799,952515,720,2153.2,1163.4,608
R,952859,953159,304,2455.4,1342.3,413
R,953551,953883,336,1949.5,1295.7,333
R,953903,954907,1008,1922.2,1173.5,437
R,954923,955151,232,1996.1,1751.0,311
R,955231,955279,52,2015.9,1661.4,315
