eye,tStart,tEnd,duration,xAvg,yAvg,pupilAvg
L,3818162,3819414,1256,1893.2,1123.2,297
L,3819454,3819674,224,2410.8,1193.5,363
L,3819726,3820030,308,2829.2,1750.4,376
L,3820082,3821030,952,2898.8,1100.3,344
L,3821054,3821510,460,3097.2,1096.1,239
L,3821606,3822878,1276,1916.2,1067.8,306
L,3822962,3823338,380,1106.3,2001.9,348
L,3823382,3824510,1132,1050.3,1404.4,320
L,3824530,3825330,804,1120.7,1286.6,255
L,3825346,3825926,584,1272.7,1240.7,299
L,3825946,3826326,384,1148.6,1245.6,325
L,3826342,3826706,368,1291.6,1204.2,353
L,3826734,3827666,936,977.3,1256.9,338
L,3827686,3827986,304,1163.2,1233.1,357
L,3828046,3829330,1288,1948.3,1049.4,368
L,3829390,3829666,280,1280.5,1329.3,409
L,3829706,3830006,304,1231.3,1860.2,414
L,3830034,3830982,952,1122.4,1293.5,356
L,3831002,3831494,496,1289.9,1217.4,255
L,3831538,3832838,1304,1898.5,1065.1,341
L,3832862,3833054,196,2718.5,1090.5,385
L,3833074,3833342,272,3103.9,1155.7,384
L,3833370,3833586,220,3270.0,1149.0,376
L,3833606,3833822,220,3270.0,1092.9,393
L,3833850,3834058,212,2974.4,1084.4,389
L,3834082,3834306,228,2951.7,920.1,295
L,3834334,3834534,204,2992.1,1181.0,242
L,3834554,3834934,384,2920.2,1087.5,224
L,3834950,3835854,908,3187.3,1048.3,264
L,3835938,3836850,916,1995.0,1108.5,379
L,3836870,3837482,616,1926.2,1146.3,381
L,3837498,3838070,576,1854.2,1129.1,414
L,3838086,3838238,156,1959.7,1112.9,449
L,3838278,3838386,112,1372.9,1264.6,458
L,3838414,3839006,596,1026.5,1342.7,332
L,3839030,3839226,200,1063.2,1204.5,279
L,3839246,3840762,1520,946.0,1249.7,332
L,3840814,3841058,248,1755.8,1056.5,346
L,3841078,3842454,1380,1914.3,1057.7,369
L,3842534,3842678,148,3017.4,1028.0,376
L,3842714,3843062,352,3270.0,979.6,370
L,3843086,3843226,144,3270.0,930.7,385
L,3843254,3844054,804,2931.4,907.2,344
L,3844070,3844638,572,2967.1,990.3,247
L,3844670,3844966,300,3270.0,994.7,271
