eye,tStart,tEnd,duration
R,3131889,3132205,320
R,3136701,3136749,52
R,3139601,3139669,72
R,3142613,3142753,144
R,3146577,3146721,148
R,3146957,3147225,272
R,3147301,3147301,4
R,3148001,3148189,192
R,3150893,3151041,152
R,3151273,3151373,104
R,3155761,3155985,228
R,3159425,3159441,20
R,3163849,3164081,236
R,3168069,3168225,160
R,3170561,3170737,180
R,3175897,3176149,256
R,3177841,3182585,4748
R,3182773,3182933,164
R,3183233,3183401,172
R,3183601,3184061,464
R,3184309,3184417,112
R,3185105,3185613,512
R,3186117,3186681,568
R,3186773,3187677,908
R,3187741,3187937,200
R,3188869,3188993,128
R,3189389,3189813,428
R,3191889,3191929,44
R,3192445,3192877,436
R,3193481,3193845,368
R,3197861,3199293,1436
R,3201437,3201525,92
R,3202345,3202505,164
R,3204641,3204781,144
R,3207869,3208053,188
R,3211405,3211449,48
R,3213101,3213201,104
R,3213829,3213981,156
R,3220993,3221053,64
R,3221421,3221489,72
R,3222633,3222789,160
R,3224437,3224453,20
R,3231885,3232013,132
R,3233361,3233497,140
R,3236249,3236553,308
R,3236981,3237461,484
R,3240469,3240697,232
R,3242401,3242421,24
R,3245113,3245185,76
R,3246417,3246589,176
R,3249317,3249333,20
R,3250429,3250557,132
R,3254705,3254949,248
R,3255281,3255797,520
R,3256857,3256905,52
R,3258917,3259133,220
R,3260045,3260209,168
R,3262625,3262925,304
R,3264401,3264477,80
R,3266961,3267097,140
R,3268597,3268817,224
R,3272121,3272165,48
R,3272997,3273005,12
R,3273257,3274221,968
R,3274609,3275149,544
R,3275341,3276177,840
R,3276333,3284829,8500
R,3285449,3285641,196
R,3285877,3286097,224
R,3286301,3286429,132
R,3286641,3286673,36
R,3288485,3288545,64
R,3289637,3289717,84
R,3289969,3290085,120
R,3292545,3292581,40
R,3293381,3294121,744
R,3296081,3296121,44
R,3297457,3297553,100
R,3300453,3300537,88
R,3303897,3304001,108
R,3308405,3308545,144
R,3309289,3309405,120
R,3311529,3311697,172
R,3312329,3312613,288
R,3315205,3315325,124
R,3316981,3317145,168
R,3320437,3320609,176
R,3320893,3321025,136
R,3321917,3321965,52
R,3323101,3323189,92
R,3326977,3328989,2016
R,3330469,3330573,108
R,3330921,3331021,104
R,3332029,3332389,364
R,3335365,3335449,88
R,3335581,3335793,216
R,3339293,3339325,36
R,3340025,3340165,144
R,3340657,3340805,152
R,3342813,3343577,768
R,3343933,3344457,528
R,3347801,3347873,76
R,3350341,3350481,144
R,3353457,3353589,136
R,3354105,3354241,140
R,3354993,3355057,68
R,3356489,3356565,80
R,3357913,3358009,100
R,3362433,3362553,124
R,3363045,3363153,112
R,3363433,3363617,188
R,3363885,3364357,476
R,3364757,3364769,16
R,3364973,3365189,220
R,3366561,3366645,88
R,3366857,3367217,364
R,3369505,3369897,396
R,3371105,3371353,252
R,3373957,3374133,180
R,3374505,3374841,340
R,3375297,3375513,220
R,3378837,3378973,140
R,3380089,3380417,332
R,3380641,3381069,432
R,3382685,3382933,252
R,3384097,3384517,424
R,3388421,3388629,212
R,3392053,3392193,144
R,3394789,3394825,40
R,3399769,3400213,448
R,3401285,3401625,344
R,3404613,3404925,316
R,3406181,3406245,68
R,3406853,3406885,36
R,3415349,3415373,28
R,3415957,3416025,72
R,3416133,3416313,184
R,3416781,3417037,260
R,3422337,3422357,24
R,3425845,3426677,836
R,3427621,3427765,148
R,3428133,3428273,144
R,3429965,3430041,80
R,3431417,3431493,80
R,3435669,3435721,56
R,3437273,3437453,184
R,3437897,3438009,116
R,3441529,3441613,88
R,3442001,3442381,384
R,3443889,3444181,296
R,3453993,3454001,12
R,3455857,3456213,360
R,3456561,3470881,14324
R,3471193,3471505,316
R,3472165,3472381,220
R,3472861,3473225,368
R,3473493,3474149,660
R,3474417,3474585,172
