eye,tStart,tEnd,duration,xStart,yStart,xEnd,yEnd,ampDeg,vPeak
R,1539477,1539533,60,942.1,1290.0,1738.5,1048.1,7.4,181
R,1539845,1539857,16,1872.5,1148.8,1951.1,1102.6,0.9,81
R,1540777,1540821,48,1957.7,1144.8,2858.5,1180.9,8.0,234
R,1541097,1541113,20,3006.9,1222.0,3172.9,1243.5,1.5,106
R,1541349,1541357,12,3205.6,1269.4,3145.8,1273.7,0.5,66
R,1541973,1541981,12,3134.1,1309.0,3172.6,1332.5,0.5,56
R,1542753,1542961,212,3201.9,1362.0,3113.3,1481.2,1.6,716
R,1543853,1545169,1320,3145.2,1333.6,2612.5,1637.4,6.0,761
R,1545449,1545473,28,2751.7,1345.1,3210.9,1334.5,4.1,202
R,1546045,1546057,16,3199.9,1315.9,3086.5,1303.5,1.0,89
R,1546269,1546317,52,2953.8,1272.2,2015.5,1103.2,8.5,232
R,1546701,1546997,300,1897.6,1117.0,1840.2,1156.1,0.7,664
R,1548341,1548389,52,1972.8,1159.5,2804.2,1272.1,7.5,194
R,1548713,1548725,16,2962.9,1288.2,3048.0,1316.4,0.8,73
R,1549365,1549597,236,3125.8,1347.8,3043.2,1586.4,3.0,1053
R,1551253,1551321,72,3069.5,1377.9,3040.2,2813.7,16.6,491
R,1551353,1551421,72,2961.1,2713.2,2916.0,1625.3,12.6,467
R,1552329,1552337,12,3034.2,1308.1,2983.8,1301.8,0.5,57
R,1553257,1553549,296,2917.0,1285.9,1894.0,1219.2,9.1,524
R,1553905,1553917,16,1922.0,1097.6,2003.4,1074.4,0.8,68
R,1554585,1554621,40,1924.9,1122.9,2646.9,1236.0,6.5,220
R,1554833,1554845,16,2834.6,1253.8,2942.0,1275.9,1.0,85
R,1558145,1558153,12,3011.0,1301.1,3056.0,1306.3,0.4,50
R,1559289,1559301,16,3120.7,1283.3,3048.2,1300.4,0.7,58
R,1559757,1559765,12,3016.1,1299.0,3065.6,1309.2,0.5,57
R,1560161,1560425,268,3125.7,1327.8,2062.5,1382.0,9.4,614
R,1560881,1561109,232,2033.1,1204.4,1955.8,1127.7,1.2,812
R,1563337,1563381,48,1857.3,1145.0,1241.9,1281.9,5.6,156
R,1563725,1563737,16,928.3,1364.2,837.2,1398.6,0.9,75
R,1566725,1566765,44,939.7,1380.3,846.9,2074.9,8.1,308
R,1566805,1566857,56,796.9,2042.0,898.7,1471.8,6.7,173
R,1567057,1567073,20,917.7,1371.9,772.4,1382.8,1.2,84
R,1568897,1568909,16,721.8,1338.7,826.1,1368.0,0.9,79
R,1569305,1569321,20,847.5,1378.2,708.5,1333.4,1.3,81
R,1569949,1569981,36,632.7,1335.6,1260.3,1264.2,5.3,212
R,1570197,1570353,160,1440.3,1223.3,1872.6,1299.2,3.9,1012
R,1571469,1571509,44,1928.4,1155.4,2662.2,1270.5,6.6,196
R,1571657,1571677,24,2812.6,1295.0,3064.6,1386.0,2.5,148
R,1571913,1571925,16,3183.1,1455.0,3093.9,1410.3,1.0,88
R,1573261,1573317,60,3139.8,1426.9,3270.0,2771.9,15.6,508
R,1573353,1573473,124,3270.0,2754.5,3045.0,1711.1,12.2,392
R,1574161,1574401,244,3135.3,1365.5,3078.0,1570.3,2.5,548
R,1574793,1575229,440,3138.6,1291.0,1969.0,786.0,12.0,804
R,1575613,1575653,44,1925.6,723.2,1915.6,1200.1,5.8,165
R,1575889,1576177,292,1926.1,1237.1,1893.6,1191.5,0.6,649
R,1577073,1577117,48,1902.8,1146.2,1200.7,1234.4,6.2,159
R,1577441,1577457,20,1064.8,1256.6,920.9,1333.8,1.5,107
R,1577821,1577829,12,733.7,1451.8,800.2,1473.0,0.6,75
R,1579313,1579329,20,793.4,1417.9,860.0,1284.8,1.7,117
R,1579797,1579837,44,832.0,1279.8,672.3,1762.5,5.8,189
R,1579869,1579901,36,680.4,1722.6,767.8,1364.7,4.2,155
R,1580789,1580877,92,834.1,1286.3,283.9,2564.9,15.0,272
R,1580917,1581049,136,253.1,2604.3,851.8,1359.8,14.7,264
R,1582045,1582429,388,1025.7,1397.4,1392.7,1408.5,3.1,1284
R,1582717,1582729,16,1710.8,1224.3,1781.3,1184.5,0.8,69
