subj_id,eye,trial_no,n_flash,n_beep,direction,blindspot,response,phase,fixation_x_mean,fixation_x_max,fixation_y_mean,fixation_y_max,pupil_avg_mean,pupil_avg_max,fixation_duration_mean,saccade_amplitude_mean,saccade_amplitude_max,saccade_velocity_mean,saccade_velocity_max,saccade_duration_mean
SV021,R,1,2,2,0,0,2,Response,1058.1642857142856,1313.4,1954.685714285714,2498.1,564.4285714285714,943.0,192.28571428571428,4.546666666666667,15.6,249.4,550.0,60.266666666666666
SV021,R,2,3,0,0,0,3,Response,1046.1375,1173.2,1729.9875,2213.8,626.25,868.0,262.5,4.044444444444444,9.9,209.88888888888889,528.0,49.77777777777778
SV021,R,3,3,0,1,1,2,Response,3052.7933333333335,3270.0,1954.3333333333333,2510.5,426.1333333333333,793.0,103.73333333333333,3.48125,10.0,233.875,599.0,47.25
SV021,R,4,2,3,0,1,3,Response,3071.9857142857145,3270.0,1785.8500000000001,2442.9,381.7857142857143,830.0,166.57142857142858,2.566666666666667,7.0,232.06666666666666,870.0,64.0
SV021,R,5,3,2,1,0,2,Response,1032.725,1126.4,1774.5125,2201.0,693.125,857.0,256.0,3.9555555555555557,9.9,242.66666666666666,782.0,53.77777777777778
SV021,R,6,3,0,0,1,3,Response,3183.35,3270.0,2159.241666666667,2469.4,323.0,755.0,104.0,1.4680000000000002,8.5,189.92,414.0,31.52
SV021,R,7,3,3,1,1,3,Response,3176.2466666666664,3270.0,2271.1466666666665,2604.7,325.0,790.0,146.13333333333333,2.6625,19.0,312.1875,1181.0,78.75
SV021,R,8,3,0,1,1,3,Response,2891.4125,3270.0,1874.8625,2420.5,455.625,878.0,270.5,3.5444444444444443,9.2,192.0,542.0,37.77777777777778
SV021,R,9,2,0,0,1,3,Response,3178.775,3270.0,2537.7708333333335,3182.4,244.75,699.0,109.66666666666667,2.068,22.0,267.24,1062.0,68.8
SV021,R,10,3,3,1,1,3,Response,2922.1,3270.0,2109.5333333333333,2798.8,555.6666666666666,748.0,510.6666666666667,10.174999999999999,21.4,585.25,899.0,129.0
